status,code,url
ORPHAN,3970,https://app.estateweb.gr/app/property/53555

KEEP,2017,https://app.estateweb.gr/app/property/54579
ORPHAN,4084,https://app.estateweb.gr/app/property/53669
ORPHAN,3962,https://app.estateweb.gr/app/property/53547

KEEP,843,https://app.estateweb.gr/app/property/54578
ORPHAN,4083,https://app.estateweb.gr/app/property/53668
ORPHAN,3961,https://app.estateweb.gr/app/property/53546

KEEP,1249,https://app.estateweb.gr/app/property/54577
ORPHAN,4081,https://app.estateweb.gr/app/property/53666
ORPHAN,3959,https://app.estateweb.gr/app/property/53544

KEEP,1277,https://app.estateweb.gr/app/property/54576
ORPHAN,4080,https://app.estateweb.gr/app/property/53665
ORPHAN,3958,https://app.estateweb.gr/app/property/53543

KEEP,1348,https://app.estateweb.gr/app/property/54575
ORPHAN,4079,https://app.estateweb.gr/app/property/53664
ORPHAN,3957,https://app.estateweb.gr/app/property/53542

KEEP,1422,https://app.estateweb.gr/app/property/54574
ORPHAN,4078,https://app.estateweb.gr/app/property/53663
ORPHAN,3956,https://app.estateweb.gr/app/property/53541

KEEP,1732,https://app.estateweb.gr/app/property/54573
ORPHAN,4073,https://app.estateweb.gr/app/property/53658
ORPHAN,3951,https://app.estateweb.gr/app/property/53536

KEEP,1822,https://app.estateweb.gr/app/property/54572
ORPHAN,4072,https://app.estateweb.gr/app/property/53657
ORPHAN,3950,https://app.estateweb.gr/app/property/53535

KEEP,1844,https://app.estateweb.gr/app/property/54571
ORPHAN,4071,https://app.estateweb.gr/app/property/53656
ORPHAN,3949,https://app.estateweb.gr/app/property/53534

KEEP,1975,https://app.estateweb.gr/app/property/54570
ORPHAN,4070,https://app.estateweb.gr/app/property/53655
ORPHAN,3948,https://app.estateweb.gr/app/property/53533

KEEP,2000,https://app.estateweb.gr/app/property/54569
ORPHAN,4068,https://app.estateweb.gr/app/property/53653
ORPHAN,3946,https://app.estateweb.gr/app/property/53531

KEEP,2065,https://app.estateweb.gr/app/property/54567
ORPHAN,4066,https://app.estateweb.gr/app/property/53651
